createdAt,Sentiment
2010-06-04,0.16666666666666666
2011-12-01,0.3
2011-12-03,0.225
2011-12-04,0.48000000000000004
2011-12-21,0.14935064935064934
2011-12-22,-0.061111111111111095
2011-12-24,0.2833333333333333
2011-12-26,-0.006812169312169311
2011-12-27,0.2
2011-12-28,0.425
2011-12-29,0.13594155844155845
2011-12-30,0.19215029761904762
2011-12-31,0.19444444444444442
2012-01-01,0.2729901051329623
2012-01-03,0.43
2012-01-06,0.13472222222222222
2012-01-11,0.35
2012-01-12,0.21666666666666667
2012-01-13,0.25
2012-01-14,0.15625
2012-01-17,0.03549382716049382
2012-01-18,-0.2571428571428572
2012-01-22,0.0
2012-01-23,0.24062499999999998
2012-01-24,0.09444444444444444
2012-01-27,0.49318181818181817
2012-01-28,0.053977272727272735
2012-01-31,0.35
2012-02-01,0.26666666666666666
2012-02-02,0.3
2012-02-04,0.1
2012-02-05,0.0
2012-02-06,-0.05
2012-02-07,0.4
2012-02-08,0.146780303030303
2012-02-09,0.39285714285714285
2012-02-10,0.22142857142857142
2012-02-12,0.225
2012-02-14,0.0
2012-02-17,0.2
2012-02-21,0.28125
2012-02-22,0.0
2012-02-25,0.10606060606060606
2012-02-28,0.0
2012-02-29,0.0
2012-03-02,0.0
2012-03-07,0.0
2012-03-11,0.5
2012-03-12,0.17045454545454544
2012-03-13,0.0
2012-03-14,0.0
2012-03-15,0.5
2012-03-20,0.4401515151515151
2012-03-22,0.5
2012-03-28,-0.08928571428571427
2012-03-31,0.23750000000000002
2012-04-01,0.0
2012-04-03,0.17159090909090907
2012-04-04,0.44999999999999996
2012-04-05,0.4625
2012-04-09,-0.03611111111111111
2012-04-11,0.8
2012-04-14,0.45
2012-04-18,0.021590909090909088
2012-04-19,0.125
2012-04-21,0.5
2012-04-22,1.0
2012-04-23,0.10606060606060606
2012-04-24,0.4
2012-04-30,0.15885416666666666
2012-05-03,0.07222222222222223
2012-05-05,0.18095238095238095
2012-05-08,0.0
2012-05-09,0.0
2012-05-10,0.375
2012-05-11,0.07738095238095238
2012-05-14,-0.19375
2012-05-19,0.24
2012-05-20,0.050000000000000024
2012-05-22,0.09027777777777778
2012-05-23,0.30000000000000004
2012-05-24,0.11875
2012-05-25,0.25
2012-05-31,0.175
2012-06-05,0.0
2012-06-14,0.21875
2012-06-16,0.3666666666666667
2012-06-18,0.40208333333333335
2012-06-20,0.0
2012-06-22,0.0625
2012-06-27,0.28923611111111114
2012-06-28,0.1
2012-06-30,0.44999999999999996
2012-07-01,0.12430555555555556
2012-07-05,0.45
2012-07-07,0.1
2012-07-12,0.2743055555555556
2012-07-14,-0.5
2012-07-15,0.24204545454545456
2012-07-17,0.47500000000000003
2012-07-21,0.43333333333333335
2012-07-23,0.0
2012-07-27,0.09922619047619048
2012-07-31,0.1888888888888889
2012-08-01,0.23229166666666665
2012-08-03,0.27817460317460313
2012-08-04,0.34166666666666673
2012-08-13,0.049999999999999996
2012-08-22,0.56875
2012-08-25,0.0
2012-08-27,0.016666666666666673
2012-08-29,0.4625
2012-09-06,-0.07142857142857142
2012-09-13,0.6000000000000001
2012-09-14,-0.25
2012-09-17,0.625
2012-09-19,0.1875
2012-09-22,0.3125
2012-09-24,0.0
2012-09-25,0.30714285714285716
2012-09-30,0.45
2012-10-01,0.0
2012-10-02,0.0
2012-10-03,-0.5
2012-10-04,0.0
2012-10-07,0.0
2012-10-08,0.0
2012-10-11,-0.05
2012-10-22,0.0
2012-10-28,0.33791666666666664
2012-11-03,0.0375
2012-11-06,0.875
2012-11-07,0.0
2012-11-12,1.0
2012-11-13,0.6125
2012-11-16,0.5375
2012-11-19,0.4166666666666667
2012-11-20,0.04645833333333334
2012-11-21,0.40625
2012-11-22,0.175
2012-11-23,0.14930555555555555
2012-11-24,0.0
2012-11-25,0.0
