,Date,Open,High,Low,Close,Volume,Sentiment,Stock_Return,Sentiment_lag_1
379,2011-12-28,1.932667016983032,1.9493329524993896,1.869333028793335,1.9006669521331787,8628000,0.425,-0.0021001401658143903,0.2
381,2011-12-30,1.8993330001831052,1.932000041007996,1.8833329677581787,1.9040000438690183,5097000,0.19215029761904762,-0.0059169807788371775,0.13594155844155845
385,2012-01-06,1.8133330345153809,1.852666974067688,1.7606669664382937,1.7940000295639038,14794500,0.13472222222222222,-0.041666640133259714,0.43
391,2012-01-17,1.7746670246124268,1.8226670026779173,1.7606669664382937,1.773332953453064,69774000,0.03549382716049382,0.16717858933743024,0.25
399,2012-01-27,1.899999976158142,1.9813330173492432,1.899999976158142,1.95533299446106,11226000,0.49318181818181817,0.06965702873446156,0.09444444444444444
408,2012-02-09,2.1333329677581787,2.19333291053772,2.0953330993652344,2.171999931335449,19156500,0.39285714285714285,0.020356783285285562,0.146780303030303
409,2012-02-10,2.1506669521331787,2.1513330936431885,1.9893330335617063,2.0733330249786377,28113000,0.22142857142857142,-0.04542675390240292,0.39285714285714285
411,2012-02-14,2.115999937057495,2.25266695022583,2.093333005905152,2.211333036422729,27162000,0.0,0.0665595009492086,0.22142857142857142
445,2012-04-03,2.446666955947876,2.564666986465454,2.444667100906372,2.5339999198913574,16471500,0.17159090909090907,0.004227284675403453,-0.08928571428571427
448,2012-04-09,2.273333072662353,2.2860000133514404,2.206666946411133,2.2100000381469727,24835500,-0.03611111111111111,-0.03857318944690924,0.4625
458,2012-04-23,2.190666913986206,2.197999954223633,2.114000082015991,2.129333019256592,13362000,0.10606060606060606,-0.036791556359439426,0.125
463,2012-04-30,2.2179999351501465,2.2239999771118164,2.171999931335449,2.208667039871216,6208500,0.15885416666666666,0.041169472599933865,0.4
479,2012-05-22,2.006666898727417,2.0893330574035645,2.0,2.053333044052124,35493000,0.09027777777777778,0.024617313781581718,-0.19375
509,2012-07-05,2.053999900817871,2.111332893371582,2.053333044052124,2.0820000171661377,18807000,0.45,-0.005730698827137615,0.1
521,2012-07-23,2.069999933242798,2.086667060852051,2.041332960128784,2.0439999103546143,20802000,0.0,-0.08065952383046016,0.47500000000000003
525,2012-07-27,1.9140000343322756,1.9773329496383667,1.8733329772949217,1.9673329591751096,25095000,0.09922619047619048,-0.037508294785689955,0.0
528,2012-08-01,1.866000056266785,1.866000056266785,1.73533296585083,1.75,23884500,0.23229166666666665,-0.04266955777460746,0.1888888888888889
530,2012-08-03,1.7933330535888672,1.8366669416427608,1.78266704082489,1.8179999589920044,18142500,0.27817460317460313,0.038857119424002606,0.23229166666666665
565,2012-09-24,1.9673329591751096,2.068666934967041,1.9600000381469729,2.0439999103546143,19528500,0.0,-0.012560397935594492,0.1875
571,2012-10-02,1.9520000219345093,1.9926669597625728,1.9333330392837524,1.9866670370101929,10935000,0.0,0.021948061297612842,0.0
594,2012-11-06,2.040667057037353,2.0799999237060547,1.9966670274734497,2.076667070388794,34860000,0.875,0.11849191247531587,0.0
606,2012-11-23,2.173332929611206,2.188667058944702,2.113332986831665,2.1419999599456787,6454500,0.14930555555555555,-0.010471325285917765,0.40625
608,2012-11-27,2.1419999599456787,2.177333116531372,2.101332902908325,2.1433329582214355,13662000,-0.19999999999999998,0.0006223147995720879,0.14930555555555555
614,2012-12-05,2.254667043685913,2.2793331146240234,2.2386670112609863,2.24733304977417,9922500,0.25,-0.005604841036521591,0.14545454545454548
619,2012-12-12,2.3473329544067383,2.386667013168335,2.3299999237060547,2.3506669998168945,30957000,0.28500000000000003,-0.0005667509680434835,0.3
663,2013-02-15,2.566667079925537,2.567332983016968,2.4633328914642334,2.4693329334259038,30264000,0.20833333333333334,-0.03214006903611266,0.21428571428571427
664,2013-02-19,2.4906671047210693,2.619333028793335,2.487333059310913,2.618666887283325,40521000,0.25,0.060475423073161005,0.20833333333333334
668,2013-02-25,2.4100000858306885,2.450000047683716,2.2893331050872803,2.2920000553131104,43341000,0.5104166666666666,-0.12474547013083737,0.25
677,2013-03-08,2.5373330116271973,2.629333019256592,2.4906671047210693,2.564666986465454,13681500,0.13796296296296295,0.020695160561990944,0.0
688,2013-03-25,2.4733328819274902,2.568000078201294,2.4513330459594727,2.502000093460083,35682000,-0.1395833333333333,0.04394982267827929,0.010416666666666668
689,2013-03-26,2.532000064849853,2.5480000972747803,2.510667085647583,2.5239999294281006,27123000,0.11878306878306877,0.00879289973870212,-0.1395833333333333
693,2013-04-02,2.9066669940948486,3.0333330631256104,2.9006669521331787,2.9560000896453857,99786000,0.003124999999999991,0.009332921948725703,0.37249999999999994
713,2013-04-30,3.733333110809326,3.878667116165161,3.5840001106262207,3.5993330478668213,82839000,0.05,0.05449222564421219,-0.2333333333333333
715,2013-05-02,3.5899999141693115,3.6846671104431152,3.5799999237060547,3.607332944869995,45756000,0.04643678695436509,0.015577955625148077,0.3668367346938775
722,2013-05-13,5.3993330001831055,5.866666793823242,5.27666711807251,5.853332996368408,336253500,0.11527777777777778,0.26512951280987895,0.012499999999999999
723,2013-05-14,6.281332969665527,6.474667072296143,5.409999847412109,5.549333095550537,557458500,0.15,-0.05193620472412597,0.11527777777777778
730,2013-05-23,5.65399980545044,6.200666904449463,5.536666870117188,6.182000160217285,180333000,0.0825,0.06292987902962643,0.0
738,2013-06-05,6.24399995803833,6.531332969665527,5.940667152404785,6.357999801635742,183372000,0.125,0.03002474851141601,0.10777777777777778
739,2013-06-06,6.349999904632568,6.618000030517578,6.340666770935059,6.489999771118164,142663500,-0.07848888888888889,0.020761241522603058,0.125
741,2013-06-10,6.595333099365234,6.834667205810547,6.571332931518555,6.670000076293945,138429000,0.043181818181818175,0.027735024888108528,-0.07848888888888889
743,2013-06-12,6.453332901000977,6.698667049407959,6.383333206176758,6.51533317565918,137890500,0.075,-0.023188440609539396,0.043181818181818175
750,2013-06-21,6.913332939147949,6.913332939147949,6.5,6.636666774749756,175779000,0.0,-0.010928951263831643,0.0
752,2013-06-25,6.873332977294922,6.946667194366455,6.703332901000977,6.826666831970215,87730500,0.07678571428571428,0.008966455780505589,0.0
761,2013-07-09,8.309332847595215,8.354666709899902,8.12733268737793,8.229999542236328,129049500,0.0,0.047784628753339664,0.21875
791,2013-08-20,9.90999984741211,9.985333442687988,9.800000190734863,9.972000122070312,96273000,1.0,0.053380237988741364,0.0
794,2013-08-23,10.466667175292969,10.81999969482422,10.333333015441896,10.78933334350586,193978500,0.44266666666666665,0.08196281703071806,1.0
816,2013-09-25,12.237333297729492,12.420000076293944,12.033332824707031,12.349332809448242,123790500,0.14999999999999997,0.010087762063480943,0.234375
817,2013-09-26,12.446666717529297,12.645333290100098,12.37399959564209,12.576000213623049,99216000,0.0,0.018354627547278346,0.14999999999999997
841,2013-10-30,10.975333213806152,11.178667068481444,10.54466724395752,10.614666938781738,126027000,0.0,-0.12023425988815972,0.0
